JUPAS Code,Institution,Name (EN),Name (ZH),Formula 2025,Weights 2025 (Raw),Min Chi,Min Eng,Min Math,Min CSD,2025 Median,2025 LQ,2025 UQ
JS1040,CityUHK,Creative Arts and Technology Excellence (CREATE) (Options: Creative Media (School-based)/ BA Creative Media / BSc Creative Media / BAS New Media),卓越創藝與科技課程 [選項: 創意媒體(校本課程)、 文學士(創意媒體)、理學士(創意媒體)、文理學士(新媒體)],Best 5 subjects (include English),English Language (x2.0),3,3,2,A,28.0,24.5,
JS1041,CityUHK,Creative Media (Majors: BA Creative Media / BSc Creative Media / BAS New Media),創意媒體 [主修: 文學士(創意媒體) / 理學士(創意媒體) / 文理學士(新媒體)],Best 5 subjects (include English),English Language (x2.0),3,3,2,A,25.5,25.0,
JS1042,CityUHK,BA Creative Media (Features: Animation / Cinema & Photography / Critical Theory & Practices / Game & Playable Media / New Media Art / Sound Art),文學士(創意媒體) (特點: 動畫 / 電影及攝影 / 批判理論及實踐 / 遊戲及可玩媒體 / 新媒體藝術 / 聲音藝術),Best 5 subjects (include English),English Language (x2.0),3,3,2,A,27.5,27.0,
JS1043,CityUHK,BSc Creative Media (Features: Combination of Creative Media and Computer Science Courses / Animation / Games / Installation / Interactivity),理學士(創意媒體) (特點: 結合創意媒體及電腦科學課程 / 動畫 / 遊戲 / 裝置藝術 / 互動媒體),Best 5 subjects (include English and Mathematics),"English Language (x2.0), Mathematics (Compulsory Part) (x1.5)",3,3,2,A,26.5,25.5,
JS1044,CityUHK,BAS New Media (Features: Media Art / Robotics & AI / Art & Technology / Materials & Digital Fabrication),文理學士(新媒體) (特點: 媒體藝術 / 機械人學及人工智能 / 藝術及科技 / 物料及數位製造),Best 5 subjects (include English),English Language (x2.0),3,3,2,A,24.0,24.0,
JS1050,CityUHK,"International Sustainability Programme for Innovation, Research & Entrepreneurship(INSPIRE) (Majors: BEng Energy Science & Engineering/BEng Environmental Science & Engineering +Features: Global Focus)",環球可持續發展科創課程 [主修: 工學士(能源科學及工程學) / 工學士(環境科學及工程學)＋特點：環球視野],"Best 5 subjects (include English, Mathematics and one subject from Biology, Chemistry or Physics)","English Language (x2.0), Mathematics (Compulsory Part) (x2.5), Biology (x1.5), Chemistry (x1.5), Physics (x1.5), Geography (x1.5), M1 (Calculus and Statistics) (x1.5), M2 (Algebra and Calculus) (x1.5)",3,3,2,A,38.0,36.5,
JS1051,CityUHK,Energy and Environment (Majors: BEng Energy Science and Engineering / BEng Environmental Science and Engineering),能源及環境學 [主修: 工學士(能源科學及工程學) / 工學士(環境科學及工程學)],"Best 5 Subjects (includes English Language, Mathematics (Compulsory Part) and one subject from Biology / Chemistry / Physics)","English Language (x2.0), Mathematics (Compulsory Part) (x2.5), Biology (x1.5), Chemistry (x1.5), Physics (x1.5), Geography (x1.5), M1 (Calculus and Statistics) (x1.5), M2 (Algebra and Calculus) (x1.5)",3,3,2,A,40.5,40.0,
JS1061,CityUHK,Bachelor of Laws,法律學學士,Best 5 subjects (include English),,3,5,2,A,23.0,21.5,
JS4006,CUHK,Anthropology,人類學,Best 5 subjects,--,3,3,2,A,24.0,23.0,24.5
JS4018,CUHK,Chinese Language and Literature,中國語言及文學,Best 5 subjects,Chinese (x 1.2),3,3,2,A,30.4,29.2,31.9
